Field (Oe)	Temperature (K)	Long Moment (emu)	Long Reg Fit
1004.622	10.00537	-0.02304	0.99249
3014.45	10.0007	-0.02654	0.99343
5026.178	10.00106	-0.02441	0.99336
7034.692	10.00141	-0.02385	0.99329
9042.766	10.00105	-0.02411	0.99334
11051.42	10.00058	-0.02468	0.99327
13062.43	10.00249	-0.02564	0.99343
15071.67	10.00034	-0.02642	0.9934
17080.62	10.00106	-0.02746	0.99349
19092.35	10.0014	-0.0283	0.99354
21099.11	10.00106	-0.02893	0.99355
23109.52	10.00118	-0.02966	0.99362
25119.93	10.00118	-0.03017	0.99365
27127.42	10.00118	-0.03051	0.99372
29137.83	10.00177	-0.0307	0.99376
31147.52	10.00153	-0.0309	0.99387
33155.01	10.00152	-0.03098	0.9939
35166.15	10.00129	-0.03091	0.99397
37175.83	10.00141	-0.03074	0.99406
39184.05	10.00104	-0.03056	0.99413
41194.47	10.00165	-0.03025	0.99419
43204.14	10.00092	-0.03	0.99425
45213.83	10.00116	-0.02963	0.99427
47224.24	10.00104	-0.02922	0.99433
49233.2	10.00128	-0.02866	0.99436
51243.61	10.0014	-0.02827	0.99441
53254.02	10.00139	-0.02778	0.99444
55262.97	10.00139	-0.02721	0.99454
57273.39	10.00175	-0.02674	0.99453
59282.33	10.00103	-0.02614	0.99452
61291.29	10.00079	-0.02559	0.99449
63303.16	10.0015	-0.02507	0.99441
65312.11	10.00114	-0.02448	0.99433
67322.52	10.00115	-0.02388	0.99433
69334.4	10.00056	-0.02341	0.99414
70341.07	10.00067	-0.02324	0.99399
68327.73	10.00151	0.01648	0.9867
66314.39	10.00173	0.02163	0.98868
64306.91	10.00174	0.02255	0.98904
62296.5	10.00126	0.02312	0.98921
60283.15	10.00163	0.02377	0.98939
58275.67	10.00115	0.02439	0.9898
56266.71	10.00115	0.02509	0.99007
54256.3	10.00186	0.02557	0.99019
52244.43	10.00152	0.02621	0.9904
50238.4	10.00151	0.02665	0.9905
48227.99	10.00152	0.02731	0.99074
46219.04	10.00128	0.02776	0.99086
44204.24	10.00174	0.02827	0.99101
42198.21	10.0014	0.02871	0.99116
40189.26	10.00175	0.02897	0.99122
38180.31	10.00187	0.02939	0.99141
36171.36	10.00093	0.02951	0.99139
34159.48	10.00128	0.02978	0.99159
32150.53	10.00187	0.02976	0.99163
30139.38	10.00151	0.02981	0.99177
28132.63	10.0014	0.02959	0.99182
26120.03	10.00151	0.02938	0.9919
24109.62	10.00164	0.02898	0.99194
22102.12	10.00102	0.02853	0.99209
20091.71	10.00117	0.02785	0.99214
18082.76	10.00199	0.02707	0.99221
16075.71	10.00186	0.0262	0.9923
14067.05	10.00175	0.02536	0.99245
12057.8	10.00139	0.02442	0.99254
10048.85	10.00126	0.02358	0.99264
8040.189	10.00198	0.0231	0.99282
6029.922	10.00234	0.02295	0.99296
4021.555	10.00163	0.0236	0.99315
2010.559	10.00186	0.02764	0.99349
1.16885	10.00127	0.04267	0.99315
-2010.559	10.00151	0.03	0.99326
-69823.86	10.00364	0.02049	0.99407
-69834.09	10.00504	0.00684	0.98301
-1007.69	10.00472	-0.02981	0.99274
1008.275	10.00114	-0.03609	0.99331
3016.934	10.0001	-0.02692	0.99328
5028.515	10.00174	-0.02452	0.99332
7036.882	10.00151	-0.02392	0.9933
