Field (Oe)	Temperature (K)	Long Moment (emu)	Long Reg Fit
0	70.00764	3.69794E-4	0.97726
15.9255	70.00493	-2.53585E-4	0.97612
34.77312	70.00403	-5.41337E-4	0.98923
55.66622	70.00133	-5.36202E-4	0.98892
76.41321	69.99953	-4.83629E-4	0.98775
95.84525	70.00043	-4.47769E-4	0.98752
116.7383	70.00133	-4.45431E-4	0.98724
137.6314	70.00133	-4.63724E-4	0.9876
158.2324	69.99952	-4.49203E-4	0.98731
177.5183	69.99953	-4.74E-4	0.9882
198.2653	70.00223	-4.77647E-4	0.98841
219.0123	69.99861	-4.74761E-4	0.98844
238.2982	69.99953	-4.9251E-4	0.98841
259.0452	70.00223	-4.99977E-4	0.98865
279.646	69.99863	-4.86067E-4	0.98866
298.6397	70.00133	-4.90337E-4	0.98875
319.2407	69.99952	-5.06838E-4	0.98932
339.6955	69.99952	-5.18088E-4	0.98938
358.8352	70.00043	-5.00793E-4	0.98918
379.7285	70.00133	-5.23297E-4	0.98942
400.0371	70.00132	-5.11056E-4	0.98951
420.6379	70.00133	-5.09124E-4	0.98958
439.3395	69.99862	-5.25299E-4	0.98965
460.0865	70.00132	-5.14046E-4	0.98974
480.6873	70.00132	-5.12023E-4	0.98956
500.1194	70.00043	-5.0871E-4	0.98965
1002.43	69.99863	-4.95781E-4	0.99038
3011.382	70.00043	-4.52132E-4	0.98777
5023.402	69.99953	-4.12461E-4	0.98325
7032.062	70.00223	-4.03798E-4	0.97293
9039.552	69.99591	-3.73575E-4	0.96189
11049.96	69.99772	-3.52174E-4	0.94436
13060.08	70.00043	-3.44362E-4	0.9349
15070.2	70.00043	-3.63032E-4	0.92991
17077.4	69.99952	-3.88064E-4	0.92455
19090.88	70.00133	-4.22288E-4	0.92319
21098.37	70.00132	-4.61888E-4	0.92043
23104.41	69.99952	-5.03951E-4	0.9212
25117.74	70.00133	-5.47392E-4	0.92004
27126.69	70.00133	-5.9113E-4	0.91937
29137.83	70.00133	-6.35635E-4	0.91872
31146.05	70.00043	-6.79657E-4	0.91897
33143.32	69.99591	-7.25014E-4	0.91791
31128.53	70.00043	-6.7971E-4	0.91841
29120.3	70.00043	-6.35508E-4	0.91839
27111.35	69.99772	-5.91247E-4	0.91899
25103.13	69.99952	-5.47518E-4	0.9187
23090.52	70.00043	-5.01906E-4	0.92013
21083.04	70.00133	-4.56739E-4	0.91985
19073.35	69.99953	-4.08817E-4	0.92027
17068.05	69.99681	-3.5591E-4	0.91987
15061.44	70.00132	-2.99534E-4	0.91744
13050.44	69.99863	-2.28675E-4	0.91677
11040.62	69.99953	-1.58273E-4	0.91785
9032.831	70.00133	9.57178E-5	0.83928
7026.072	70.00043	1.34728E-4	0.90448
5016.681	70.00043	1.88079E-4	0.94389
3004.953	70.00132	2.90057E-4	0.97457
996.4402	70.00043	2.7291E-4	0.97299
497.9278	69.99772	2.83515E-4	0.9725
480.6874	70.00133	2.66734E-4	0.9722
458.9176	70.00223	2.71781E-4	0.96968
439.6317	70.00043	2.64668E-4	0.97239
421.0763	69.99952	2.60686E-4	0.97242
400.4754	69.99952	2.6543E-4	0.97766
380.0206	70.00133	2.58345E-4	0.97006
359.4197	69.99863	2.55985E-4	0.96533
340.1339	69.99953	2.59035E-4	0.97097
319.679	70.00043	2.56209E-4	0.96075
298.932	70.00133	2.49705E-4	0.97133
280.2305	69.99772	2.57075E-4	0.97778
259.4836	69.99863	2.47229E-4	0.97036
239.0287	70.00043	2.43342E-4	0.97289
219.5967	70.00043	2.46901E-4	0.97283
198.9958	70.00133	2.46675E-4	0.96733
178.2488	70.00132	2.3849E-4	0.96567
159.2551	70.00043	2.37246E-4	0.9638
138.6541	70.00223	2.35732E-4	0.97285
116.7383	69.99953	2.44517E-4	0.97566
97.3063	70.00313	2.46421E-4	0.96779
77.72816	70.00043	2.56394E-4	0.96471
55.81233	69.99952	2.77802E-4	0.96697
36.8186	70.00043	3.30225E-4	0.97267
18.2632	70.00133	5.01308E-4	0.9856
1.60717	69.99771	5.74514E-4	0.98284
-17.24046	70.00223	5.10089E-4	0.98191
-36.96471	69.99863	4.7637E-4	0.98018
-57.12728	70.00043	4.54528E-4	0.9831
-77.72816	69.99863	4.57107E-4	0.98103
-97.01411	70.00043	4.53234E-4	0.97864
-60271.47	69.99863	0.00133	0.91532
-60284.62	70.00043	0.00133	0.91545
-97.89075	70.00313	-2.09045E-4	0.96299
-78.45869	70.00043	-2.45692E-4	0.96864
-56.98117	70.00223	-2.76381E-4	0.96882
-36.6725	70.00313	-3.43743E-4	0.9771
-19.13983	70.00132	-4.98208E-4	0.9823
-1.02274	69.99952	-5.76137E-4	0.98151
19.43205	70.00043	-5.07623E-4	0.98453
37.25692	70.00223	-4.65089E-4	0.98151
57.41949	70.00133	-4.47974E-4	0.97666
78.45869	70.00043	-4.57465E-4	0.9829
97.16021	69.99953	-4.52571E-4	0.97851
118.6377	70.00223	-4.61595E-4	0.98315
138.8003	69.99863	-4.61112E-4	0.97763
159.4011	70.00132	-4.67482E-4	0.98001
178.2488	70.00313	-4.71899E-4	0.97823
198.9958	70.00042	-4.83526E-4	0.97792
219.4506	70.00042	-4.87896E-4	0.9773
239.0287	70.00043	-4.94082E-4	0.97961
259.3374	70.00043	-4.8635E-4	0.97924
280.6688	69.99772	-5.08952E-4	0.97839
