Field (Oe)	Temperature (K)	Long Moment (emu)	Long Reg Fit
-2.48379	15.00341	-0.02465	0.99265
5028.37	15.0022	-0.01592	0.99313
15074.29	15.00261	-0.01978	0.99341
30141.58	15.00362	-0.02197	0.99405
60289	15.00443	-0.01404	0.99302
60283.16	15.00362	0.01294	0.98496
30135	15.00321	0.02044	0.99042
15071.37	15.00382	0.0188	0.99173
5027.493	15.00402	0.01469	0.99256
3.50653	15.0022	0.0273	0.99309
-2.92211	20.00288	-0.01632	0.99249
5028.808	20.00103	-0.01185	0.99312
15074.29	20.00177	-0.01604	0.99352
30145.23	20.00214	-0.01615	0.99424
60296.3	20.00621	-0.00817	0.98716
60277.32	20.00436	0.00707	0.97688
30135.74	20.00288	0.01459	0.9894
15071.96	20.00399	0.01508	0.99133
5028.808	20.00399	0.01085	0.99232
3.65264	20.00103	0.01851	0.99315
-3.06821	25.00187	-0.01116	0.99241
5029.1	24.99955	-0.00928	0.993
15075.17	24.99955	-0.0131	0.99367
30142.31	25.00129	-0.01145	0.99424
60296.3	25.00303	-0.00497	0.97664
60283.16	25.00478	0.00348	0.95822
30135.74	25.00245	0.00998	0.98751
15071.67	25.00361	0.01222	0.99099
5028.808	25.00245	0.00849	0.99218
3.36042	25.00129	0.01293	0.99325
-2.92211	29.9999	-0.00775	0.99223
5028.954	30.00032	-0.00761	0.99294
15075.17	30.00032	-0.01057	0.99385
30144.5	29.99949	-0.00786	0.99316
60296.3	30.00074	-0.0028	0.95612
60280.24	30.00074	0.00123	0.89696
30138.66	30.00116	0.00623	0.9837
15073.13	30.00116	0.00976	0.99043
5027.785	30.00032	0.00687	0.99183
2.48379	30.00032	0.00907	0.99309
-3.06821	34.99974	-0.0056	0.99193
5028.808	34.99974	-0.00635	0.9929
15075.17	34.99974	-0.00826	0.99402
30142.31	35.00031	-0.00509	0.98994
60289	35.00031	-0.00176	0.93187
60281.69	35.00088	-8.35767E-4	0.9514
30138.66	35.00088	0.00379	0.97711
15071.96	35.00088	0.00719	0.98936
5027.785	35.00031	0.00567	0.99158
3.50653	34.99974	0.00655	0.99279
-3.21432	40.00164	-0.00406	0.99154
5029.1	39.99942	-0.00533	0.99276
15074.88	39.99942	-0.00606	0.99401
30142.31	39.99942	-0.00305	0.9842
60287.55	39.99868	-0.00139	0.92782
60278.77	40.0009	-0.00104	0.92457
30138.66	40.0009	0.00197	0.96533
15072.25	40.00164	0.00508	0.98856
5027.493	39.99942	0.00472	0.99093
3.50653	40.00016	0.00483	0.99276
-3.21432	44.99989	-0.00307	0.99113
5028.954	45.00082	-0.00445	0.99149
15074.29	44.99989	-0.0041	0.99208
30141.58	44.99895	-0.00168	0.989
60296.3	44.99989	-7.391E-4	0.9719
60278.77	44.99989	-6.49801E-4	0.97298
30135.74	44.99989	8.54256E-4	0.97755
15071.37	44.99989	0.00348	0.99162
5027.785	44.99895	0.00394	0.99244
2.48379	44.99895	0.00358	0.99243
-3.21432	49.99972	-0.00233	0.99057
5029.1	49.99972	-0.00356	0.99112
15074.29	49.99972	-0.00249	0.99155
30141.58	50.00087	-9.40909E-4	0.98688
60296.3	49.99741	-6.6939E-4	0.97884
60283.16	50.00087	-6.71805E-4	0.97691
30139.39	50.00087	1.87451E-4	0.91664
15073.13	50.00087	0.00201	0.98916
5027.785	50.00087	0.00313	0.99187
3.79874	49.99856	0.00272	0.99154
-3.21432	55.00112	-0.00174	0.98967
5029.1	54.99889	-0.00266	0.99162
15075.17	55.00056	-0.00145	0.99271
30142.31	54.99833	-6.4809E-4	0.9565
60294.85	54.99889	-9.31753E-4	0.93122
60283.16	54.99944	-9.32964E-4	0.93116
30137.19	55.00224	-3.56165E-4	0.91507
15073.42	54.99944	9.30961E-4	0.97655
5028.662	55.00056	0.00228	0.99071
2.6299	55	0.002	0.99143
-3.36042	60.00119	-0.00123	0.9885
5029.1	59.9992	-0.00163	0.99204
15074.01	59.99986	-8.54254E-4	0.97661
30142.31	60.00119	-6.21644E-4	0.92617
60289	59.99853	-0.00119	0.91834
60281.69	59.99986	-0.00118	0.91832
30138.66	60.00251	-5.80051E-4	0.91868
15072.84	60.00118	3.02315E-4	0.91157
5028.808	59.99986	0.00132	0.98739
2.33769	60.00053	0.00141	0.99102
-3.36042	65.00139	-8.87536E-4	0.98591
5028.954	65.00139	-8.42582E-4	0.99034
15074.59	64.99828	-4.97959E-4	0.95131
30144.5	64.99905	-6.36614E-4	0.92086
60289	64.99905	-0.00127	0.9168
60283.16	65.00061	-0.00127	0.91639
30138.66	64.99982	-6.36215E-4	0.91945
15073.13	65.0006	-2.01259E-4	0.91799
5027.931	64.99982	5.67215E-4	0.97659
3.94485	65.0006	9.78922E-4	0.98765
-3.36042	69.99863	-5.15063E-4	0.98109
5029.246	69.99861	-4.07448E-4	0.98524
15073.42	70.00132	-3.40355E-4	0.93077
30145.23	69.99772	-6.4906E-4	0.91828
60289	69.99953	-0.00131	0.91588
60283.16	69.99772	-0.00131	0.91561
30139.39	70.00223	-6.48679E-4	0.9187
15071.96	70.00043	-3.0339E-4	0.91684
5027.639	70.00223	1.8782E-4	0.94376
2.48379	70.00133	5.63919E-4	0.98214
